Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
109|Séamus Coleman|ie IRL|"DF,MF"|Everton|27|1988|25.7|3|0|0|18|26|4|89|28|45|0|0|0|Matches
110|James Collins|wls WAL|DF|West Ham|32|1983|18.4|3|0|0|7|7|1|0|37|18|0|0|0|Matches
111|Lewis Cook|eng ENG|MF|Bournemouth|19|1997|4.8|1|0|0|3|3|0|2|7|9|0|0|0|Matches
112|Steve Cook|eng ENG|"DF,MF"|Bournemouth|25|1991|38.0|5|0|0|16|16|0|12|83|33|0|0|0|Matches
113|Francis Coquelin|fr FRA|"DF,MF"|Arsenal|25|1991|19.8|5|0|0|33|40|0|5|52|44|0|1|0|Matches
114|Jack Cork|eng ENG|"DF,MF"|Swansea City|27|1989|24.8|7|0|0|24|32|1|21|57|46|0|0|2|Matches
115|Diego Costa|es ESP|FW|Chelsea|27|1988|34.2|10|0|0|42|92|26|9|9|11|1|0|0|Matches
116|Thibaut Courtois|be BEL|GK|Chelsea|24|1992|36.0|1|0|0|0|2|0|0|0|0|0|1|0|Matches
117|Philippe Coutinho|br BRA|"FW,MF"|Liverpool|24|1992|24.7|2|0|0|18|36|5|126|18|25|0|0|0|Matches
118|Aaron Cresswell|eng ENG|"DF,MF"|West Ham|26|1989|23.5|4|2|1|11|8|4|97|25|16|0|0|0|Matches
119|Peter Crouch|eng ENG|FW|Stoke City|35|1981|14.9|3|0|0|26|18|7|0|3|4|0|0|0|Matches
120|Charlie Daniels|eng ENG|"DF,MF"|Bournemouth|29|1986|34.0|1|0|0|12|27|0|87|51|40|1|1|0|Matches
121|Scott Dann|eng ENG|DF|Crystal Palace|29|1987|19.4|2|0|0|13|13|0|3|32|11|0|1|0|Matches
122|Matteo Darmian|it ITA|"DF,MF"|Manchester Utd|26|1989|14.8|3|0|0|19|15|1|19|38|28|0|0|0|Matches
123|Ben Davies|wls WAL|"DF,MF"|Tottenham|23|1993|19.3|1|0|0|13|26|2|75|12|30|0|0|0|Matches
124|Curtis Davies|sl SLE|DF|Hull City|31|1985|23.7|4|0|0|12|22|0|5|92|25|0|1|1|Matches
125|Tom Davies|eng ENG|MF|Everton|18|1998|17.2|4|0|0|25|37|4|11|20|26|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
126|Steven Davis|nir NIR|MF|Southampton|31|1985|29.4|3|0|0|18|13|1|71|26|41|0|1|0|Matches
127|Craig Dawson|eng ENG|DF|West Brom|26|1990|36.4|10|0|0|55|37|2|85|61|46|0|0|0|Matches
128|Michael Dawson|eng ENG|DF|Hull City|32|1983|19.1|4|0|0|13|6|1|0|29|12|0|1|1|Matches
129|Kevin De Bruyne|be BEL|"FW,MF"|Manchester City|25|1991|32.0|4|0|0|37|40|3|276|24|35|1|0|0|Matches
130|Mathieu Debuchy|fr FRA|DF|Arsenal|31|1985|0.2|0|0|0|0|0|0|0|1|0|0|0|0|Matches
131|Troy Deeney|eng ENG|FW|Watford|28|1988|32.7|7|0|0|42|28|20|16|18|16|0|0|1|Matches
132|Jermain Defoe|eng ENG|FW|Sunderland|33|1982|36.9|1|0|0|25|30|36|19|4|14|1|0|0|Matches
133|Steven Defour|be BEL|MF|Burnley|28|1988|11.9|1|0|0|14|8|2|70|33|16|0|0|0|Matches
134|Damien Delaney|ie IRL|DF|Crystal Palace|35|1981|22.4|8|0|0|25|14|1|5|43|22|0|1|0|Matches
135|Fabian Delph|eng ENG|"DF,MF"|Manchester City|26|1989|2.5|1|0|0|6|5|0|1|7|4|0|0|0|Matches
136|Mousa Dembélé|be BEL|MF|Tottenham|29|1987|22.8|5|0|0|43|21|0|3|26|55|1|0|0|Matches
137|Jason Denayer|be BEL|DF|Sunderland|21|1995|20.9|2|0|0|18|9|1|10|36|26|0|1|1|Matches
138|Mike van der Hoorn|nl NED|DF|Swansea City|23|1992|7.4|1|0|0|13|9|0|0|19|8|0|1|0|Matches
139|Gerard Deulofeu|es ESP|"FW,MF"|Everton|22|1994|5.1|1|0|0|2|3|10|37|4|5|0|0|0|Matches
140|Eric Dier|eng ENG|"DF,MF"|Tottenham|22|1994|33.8|6|0|0|25|19|3|20|37|34|0|0|0|Matches
141|Adama Diomande|no NOR|FW|Hull City|26|1990|13.0|1|0|0|20|16|10|4|8|22|0|0|0|Matches
142|Papy Djilobodji|sn SEN|DF|Sunderland|27|1988|17.5|6|1|1|22|16|2|5|54|18|0|0|0|Matches
143|Abdoulaye Doucouré|ml MLI|"FW,MF"|Watford|23|1993|15.1|4|0|0|12|5|0|6|22|13|0|0|0|Matches
144|Stewart Downing|eng ENG|"FW,MF"|Middlesbrough|32|1984|24.6|1|0|0|9|14|6|165|34|20|0|0|0|Matches
