Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
401|Gabriel Paulista|br BRA|DF|Arsenal|25|1990|16.9|6|0|0|19|11|0|8|32|16|0|1|0|Matches
402|Dimitri Payet|fr FRA|"FW,MF"|West Ham|29|1987|16.8|2|0|0|7|35|1|156|6|7|1|0|0|Matches
403|Pedro|es ESP|"FW,MF"|Chelsea|29|1987|23.8|6|0|0|32|40|8|72|21|36|1|0|0|Matches
404|Matthew Pennington|eng ENG|DF|Everton|21|1994|2.0|0|0|0|1|0|0|1|6|1|0|0|0|Matches
405|Dion Pereira|ag ATG|MF|Watford|17|1999|0.3|0|0|0|0|0|0|1|0|0|0|0|0|Matches
406|Roberto Pereyra|ar ARG|"DF,FW"|Watford|25|1991|11.5|2|1|0|8|18|2|32|8|6|0|0|0|Matches
407|Lucas Pérez|es ESP|"FW,MF"|Arsenal|27|1988|3.0|0|0|0|3|2|0|9|2|4|0|0|0|Matches
408|Matt Phillips|sct SCO|"DF,FW"|West Brom|25|1991|24.2|2|0|0|12|10|3|145|21|14|0|0|0|Matches
409|Jordan Pickford|eng ENG|GK|Sunderland|22|1994|29.0|0|0|0|0|6|0|0|3|0|0|0|0|Matches
410|Jérémy Pied|fr FRA|"DF,FW"|Southampton|27|1989|1.4|0|0|0|1|3|0|13|3|2|0|0|0|Matches
411|Steven Pienaar|za RSA|MF|Sunderland|34|1982|8.9|7|1|1|16|26|0|12|17|15|0|0|0|Matches
412|Erik Pieters|nl NED|"DF,MF"|Stoke City|27|1988|35.0|5|0|0|58|58|1|111|58|78|0|0|0|Matches
413|Paul Pogba|fr FRA|MF|Manchester Utd|23|1993|29.0|7|0|0|63|71|3|39|37|40|0|1|0|Matches
414|Sebastian Prödl|at AUT|"DF,MF"|Watford|29|1987|30.8|12|1|1|40|26|1|3|55|28|1|1|0|Matches
415|Marc Pugh|eng ENG|"FW,MF"|Bournemouth|29|1987|14.8|1|0|0|7|21|1|40|13|13|3|0|0|Matches
416|Jason Puncheon|eng ENG|MF|Crystal Palace|30|1986|34.3|9|0|0|61|37|1|149|40|61|0|0|0|Matches
417|Gastón Ramírez|uy URU|"FW,MF"|Middlesbrough|25|1990|17.1|10|1|1|36|30|1|81|15|37|0|0|0|Matches
418|Aaron Ramsey|wls WAL|MF|Arsenal|25|1990|13.7|3|0|0|15|20|2|21|15|12|0|0|0|Matches
419|Darren Randolph|ie IRL|GK|West Ham|29|1987|22.0|1|0|0|0|2|0|0|1|0|0|0|0|Matches
420|Àngel Rangel|es ESP|DF|Swansea City|33|1982|9.2|1|0|0|10|10|1|11|26|23|0|1|0|Matches
421|Andrea Ranocchia|it ITA|DF|Hull City|28|1988|14.8|2|0|0|12|17|0|2|27|22|0|0|0|Matches
422|Marcus Rashford|eng ENG|"FW,MF"|Manchester Utd|18|1997|19.0|3|0|0|16|33|12|84|14|14|1|0|0|Matches
423|Nathan Redmond|eng ENG|"FW,MF"|Southampton|22|1994|32.2|2|1|0|38|47|14|65|15|27|0|1|0|Matches
424|Harrison Reed|eng ENG|MF|Southampton|21|1995|0.7|0|0|0|1|0|0|0|5|2|0|0|0|Matches
425|Winston Reid|nz NZL|DF|West Ham|28|1988|28.7|10|1|1|33|36|1|4|86|29|2|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
426|Loïc Rémy|fr FRA|FW|Crystal Palace|29|1987|1.5|0|0|0|2|1|1|6|0|0|0|0|0|Matches
427|Jordan Rhodes|sct SCO|FW|Middlesbrough|26|1990|2.3|0|0|0|3|3|2|1|0|1|0|0|0|Matches
428|Declan Rice|eng ENG|"DF,MF"|West Ham|17|1999|0.0|0|0|0|0|0|0|0|0|0|0|0|0|Matches
429|Andrew Robertson|sct SCO|"DF,MF"|Hull City|22|1994|30.4|5|0|0|18|10|1|120|56|36|0|2|0|Matches
430|Paul Robinson|eng ENG|GK|Burnley|36|1979|3.0|0|0|0|0|1|0|0|0|0|0|0|0|Matches
431|Joel Robles|es ESP|GK|Everton|26|1990|19.3|2|0|0|0|4|0|0|0|1|0|1|0|Matches
432|Hal Robson-Kanu|wls WAL|"FW,MF"|West Brom|27|1989|7.8|3|0|0|28|24|5|11|4|4|0|0|0|Matches
433|Jay Rodriguez|eng ENG|"FW,MF"|Southampton|27|1989|9.9|0|0|0|15|8|10|8|2|6|0|0|0|Matches
434|Jack Rodwell|eng ENG|"DF,MF"|Sunderland|25|1991|16.6|4|0|0|23|12|1|8|19|29|0|0|0|Matches
435|Marcos Rojo|ar ARG|DF|Manchester Utd|26|1990|18.5|5|0|0|23|10|0|10|35|22|0|0|0|Matches
436|Sergio Romero|ar ARG|GK|Manchester Utd|29|1987|2.0|0|0|0|0|0|0|0|0|0|0|0|0|Matches
437|Oriol Romeu|es ESP|MF|Southampton|24|1991|34.1|11|0|0|64|35|1|3|95|90|0|0|0|Matches
438|Salomón Rondón|ve VEN|FW|West Brom|26|1989|32.1|2|0|0|41|59|29|9|8|14|0|0|0|Matches
439|Marten de Roon|nl NED|"DF,MF"|Middlesbrough|25|1991|30.8|8|0|0|65|23|3|24|46|50|0|2|0|Matches
440|Wayne Rooney|eng ENG|"FW,MF"|Manchester Utd|30|1985|17.1|8|0|0|23|11|8|98|18|11|0|0|0|Matches
441|Danny Rose|eng ENG|"DF,MF"|Tottenham|26|1990|17.0|8|0|0|29|48|1|65|22|34|0|0|0|Matches
442|Wayne Routledge|eng ENG|"FW,MF"|Swansea City|31|1985|21.4|1|0|0|28|14|9|82|16|20|0|0|0|Matches
443|Bacary Sagna|fr FRA|DF|Manchester City|33|1983|15.0|2|0|0|3|8|1|26|23|16|0|0|0|Matches
444|Diafra Sakho|sn SEN|FW|West Ham|26|1989|2.0|0|0|0|3|3|6|2|0|1|0|0|0|Matches
445|Mamadou Sakho|fr FRA|DF|Crystal Palace|26|1990|7.6|0|0|0|1|4|0|1|14|1|0|0|0|Matches
446|Bakary Sako|ml MLI|"FW,MF"|Crystal Palace|28|1988|1.6|0|0|0|2|5|1|16|0|6|0|0|0|Matches
447|Alexis Sánchez|cl CHI|"FW,MF"|Arsenal|27|1988|35.7|6|0|0|48|71|27|65|27|40|1|0|0|Matches
448|Leroy Sané|de GER|"FW,MF"|Manchester City|20|1996|19.8|4|0|0|14|17|12|53|17|22|2|0|0|Matches
449|Jeffrey Schlupp|gh GHA|"DF,FW"|Crystal Palace|23|1992|11.1|0|0|0|4|9|0|12|26|21|1|0|0|Matches
450|Jeffrey Schlupp|gh GHA|"DF,FW"|Leicester City|23|1992|1.6|0|0|0|0|2|0|4|0|5|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
451|Kasper Schmeichel|dk DEN|GK|Leicester City|29|1986|29.6|1|0|0|0|4|0|1|1|2|0|0|0|Matches
452|Morgan Schneiderlin|fr FRA|MF|Manchester Utd|26|1989|0.2|0|0|0|0|1|0|0|1|0|0|0|0|Matches
453|Morgan Schneiderlin|fr FRA|MF|Everton|26|1989|11.8|2|0|0|21|7|0|1|33|20|0|0|0|Matches
454|Xherdan Shaqiri|ch SUI|"FW,MF"|Stoke City|24|1991|18.9|2|0|0|16|28|5|129|10|6|1|0|0|Matches
455|Luke Shaw|eng ENG|"DF,MF"|Manchester Utd|21|1995|7.6|1|0|0|7|6|0|20|14|7|1|0|0|Matches
456|Ryan Shawcross|eng ENG|DF|Stoke City|28|1987|35.0|6|0|0|34|23|2|2|56|36|1|1|2|Matches
457|Gylfi Sigurðsson|is ISL|"FW,MF"|Swansea City|26|1989|37.0|2|0|0|19|33|1|308|37|33|2|0|0|Matches
458|David Silva|es ESP|"FW,MF"|Manchester City|30|1986|30.7|6|0|0|29|54|7|126|20|32|1|0|0|Matches
459|Danny Simpson|eng ENG|DF|Leicester City|29|1987|33.2|12|0|0|35|12|2|26|69|41|0|1|0|Matches
460|Josh Sims|eng ENG|MF|Southampton|19|1997|2.3|0|0|0|2|3|0|8|1|3|0|0|0|Matches
461|Jerome Sinclair|eng ENG|FW|Watford|19|1996|1.3|0|0|0|4|3|0|0|0|0|0|0|0|Matches
462|Moussa Sissoko|fr FRA|"FW,MF"|Tottenham|26|1989|10.1|3|0|0|21|10|2|34|7|12|0|0|0|Matches
463|Islam Slimani|dz ALG|FW|Leicester City|28|1988|14.2|1|0|0|27|15|11|3|3|10|0|0|0|Matches
464|Chris Smalling|eng ENG|DF|Manchester Utd|26|1989|13.5|0|0|0|8|8|1|0|13|10|0|0|0|Matches
465|Adam Smith|eng ENG|"DF,MF"|Bournemouth|25|1991|34.5|6|0|0|44|70|3|57|55|60|0|1|1|Matches
466|Brad Smith|au AUS|"DF,MF"|Bournemouth|22|1994|3.2|1|0|0|2|3|0|5|3|3|0|0|0|Matches
467|Robert Snodgrass|sct SCO|"FW,MF"|West Ham|28|1987|9.3|0|0|0|14|10|3|74|4|10|0|0|0|Matches
468|Robert Snodgrass|sct SCO|"FW,MF"|Hull City|28|1987|19.0|2|0|0|33|38|5|137|11|22|1|2|0|Matches
469|Cédric Soares|pt POR|"DF,MF"|Southampton|24|1991|27.9|7|0|0|22|19|2|144|37|61|0|0|0|Matches
470|Ramadan Sobhi|eg EGY|MF|Stoke City|19|1997|9.5|2|0|0|10|9|3|7|5|20|0|0|0|Matches
471|Pape Souaré|sn SEN|DF|Crystal Palace|26|1990|3.0|0|0|0|1|4|0|15|10|4|0|0|0|Matches
472|Junior Stanislas|eng ENG|"FW,MF"|Bournemouth|26|1989|16.3|1|0|0|8|9|5|70|9|11|0|0|0|Matches
473|Maarten Stekelenburg|nl NED|GK|Everton|33|1982|18.7|2|0|0|0|4|0|0|0|0|0|0|1|Matches
474|Jack Stephens|eng ENG|DF|Southampton|22|1994|16.3|1|0|0|15|5|1|5|27|18|0|1|0|Matches
475|Raheem Sterling|eng ENG|"FW,MF"|Manchester City|21|1994|27.9|7|0|0|35|55|15|85|20|20|3|1|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
476|Kevin Stewart|jm JAM|"DF,MF"|Liverpool|22|1993|0.2|0|0|0|1|0|0|0|0|0|0|0|0|Matches
477|John Stones|eng ENG|DF|Manchester City|22|1994|22.4|1|0|0|9|9|0|0|42|22|0|0|0|Matches
478|Cristhian Stuani|uy URU|"FW,MF"|Middlesbrough|29|1986|15.0|4|0|0|21|30|4|26|10|26|0|0|0|Matches
479|Daniel Sturridge|eng ENG|"FW,MF"|Liverpool|26|1989|8.6|1|0|0|5|9|7|8|3|1|1|0|0|Matches
480|Isaac Success|ng NGA|"FW,MF"|Watford|20|1996|5.8|2|0|0|12|24|1|13|6|12|0|0|0|Matches
481|Ki Sung-yueng|kr KOR|MF|Swansea City|27|1989|14.3|3|0|0|18|22|1|10|21|18|1|1|0|Matches
482|Andrew Surman|eng ENG|MF|Bournemouth|29|1986|20.0|3|1|1|16|18|0|6|39|11|0|0|0|Matches
483|Dušan Tadić|rs SRB|"FW,MF"|Southampton|27|1988|26.8|4|0|0|30|41|9|186|19|16|0|1|0|Matches
484|Matt Targett|eng ENG|"DF,MF"|Southampton|20|1995|4.1|0|0|0|2|3|0|25|8|8|0|0|0|Matches
485|James Tarkowski|eng ENG|DF|Burnley|23|1992|6.3|1|0|0|10|9|2|3|10|13|0|0|0|Matches
486|Neil Taylor|wls WAL|"DF,MF"|Swansea City|27|1989|10.2|1|0|0|13|4|0|28|26|18|0|0|0|Matches
487|John Terry|eng ENG|DF|Chelsea|35|1980|5.5|1|0|0|5|3|0|3|5|2|0|0|0|Matches
488|James Tomkins|eng ENG|"DF,MF"|Crystal Palace|27|1989|21.9|4|0|0|11|11|0|4|38|19|0|0|0|Matches
489|Gökhan Töre|tr TUR|"FW,MF"|West Ham|24|1992|2.7|0|0|0|4|2|1|13|0|3|0|0|0|Matches
490|Yaya Touré|ci CIV|MF|Manchester City|33|1983|21.6|4|0|0|27|10|0|5|19|31|0|0|0|Matches
491|Andros Townsend|eng ENG|"FW,MF"|Crystal Palace|25|1991|28.0|4|0|0|19|35|3|236|44|64|1|0|0|Matches
492|Adama Traoré|es ESP|"FW,MF"|Middlesbrough|20|1996|17.1|1|0|0|20|42|1|79|7|26|0|0|0|Matches
493|Kieran Trippier|eng ENG|"DF,MF"|Tottenham|25|1990|6.3|1|0|0|8|6|1|29|7|14|0|0|0|Matches
494|Axel Tuanzebe|cd COD|DF|Manchester Utd|18|1997|3.4|0|0|0|6|4|0|0|7|4|0|0|0|Matches
495|Josh Tymon|eng ENG|"DF,MF"|Hull City|17|1999|3.6|1|0|0|4|2|0|7|6|6|0|0|0|Matches
496|Leonardo Ulloa|ar ARG|FW|Leicester City|30|1986|5.0|0|0|0|20|5|4|1|2|8|0|0|0|Matches
497|Víctor Valdés|es ESP|GK|Middlesbrough|34|1982|28.0|1|0|0|0|4|0|0|3|1|0|0|0|Matches
498|Antonio Valencia|ec ECU|"DF,MF"|Manchester Utd|30|1985|27.6|5|0|0|33|17|7|142|43|44|0|0|0|Matches
499|Enner Valencia|ec ECU|"FW,MF"|West Ham|26|1989|2.3|0|0|0|9|3|3|2|4|1|0|0|0|Matches
500|Enner Valencia|ec ECU|"FW,MF"|Everton|26|1989|8.0|1|0|0|17|14|4|21|8|13|1|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
501|Virgil van Dijk|nl NED|DF|Southampton|25|1991|20.6|5|2|1|18|17|0|1|54|30|0|0|0|Matches
502|Jamie Vardy|eng ENG|FW|Leicester City|29|1987|31.1|2|1|0|26|27|25|49|10|14|1|0|0|Matches
503|Jan Vertonghen|be BEL|DF|Tottenham|29|1987|32.2|5|0|0|21|21|0|9|44|37|0|0|0|Matches
504|Sam Vokes|wls WAL|FW|Burnley|26|1989|22.9|0|0|0|24|29|23|7|5|8|1|0|0|Matches
505|Michel Vorm|nl NED|GK|Tottenham|32|1983|4.6|0|0|0|0|1|0|0|0|1|0|0|0|Matches
506|Matěj Vydra|cz CZE|"FW,MF"|Watford|24|1992|0.0|0|0|0|0|0|0|0|0|0|0|0|0|Matches
507|Theo Walcott|eng ENG|"FW,MF"|Arsenal|27|1989|21.3|1|0|0|15|29|17|50|13|27|1|0|0|Matches
508|Kyle Walker|eng ENG|"DF,MF"|Tottenham|26|1990|30.0|8|0|0|36|33|3|96|38|53|0|0|0|Matches
509|Jonathan Walters|ie IRL|"FW,MF"|Stoke City|32|1983|14.5|1|0|0|13|23|12|37|7|7|1|0|0|Matches
510|Victor Wanyama|ke KEN|MF|Tottenham|25|1991|33.5|10|0|0|64|37|0|15|39|64|0|0|0|Matches
511|Joel Ward|eng ENG|"DF,MF"|Crystal Palace|26|1989|38.0|7|0|0|36|53|0|79|64|67|0|0|0|Matches
512|Stephen Ward|ie IRL|"DF,FW"|Burnley|30|1985|35.9|5|0|0|34|56|0|115|75|49|0|0|0|Matches
513|James Ward-Prowse|eng ENG|MF|Southampton|21|1994|20.9|4|0|0|27|18|1|144|19|21|0|0|0|Matches
514|Marcin Wasilewski|pl POL|DF|Leicester City|36|1980|1.0|0|0|0|0|0|0|0|2|1|0|0|0|Matches
515|Duncan Watmore|eng ENG|"FW,MF"|Sunderland|22|1994|11.4|1|0|0|10|22|4|22|9|11|1|0|0|Matches
516|Ben Watson|eng ENG|MF|Watford|31|1985|0.6|0|1|0|2|0|0|0|4|1|0|0|0|Matches
517|Danny Welbeck|eng ENG|"FW,MF"|Arsenal|25|1990|8.3|0|0|0|7|9|2|2|6|5|0|0|0|Matches
518|Ashley Westwood|eng ENG|MF|Burnley|26|1990|6.1|3|0|0|8|1|0|2|5|6|0|0|0|Matches
519|Glenn Whelan|ie IRL|MF|Stoke City|32|1984|25.3|5|0|0|18|21|0|24|41|31|0|0|1|Matches
520|Connor Wickham|eng ENG|"FW,MF"|Crystal Palace|23|1993|4.6|1|0|0|12|5|1|6|2|2|0|0|0|Matches
521|Georginio Wijnaldum|nl NED|MF|Liverpool|25|1990|33.0|2|0|0|21|31|3|14|25|36|0|0|0|Matches
522|Ashley Williams|wls WAL|DF|Everton|31|1984|35.1|7|1|0|37|14|3|2|57|43|1|1|0|Matches
523|Willian|br BRA|"FW,MF"|Chelsea|27|1988|17.0|3|0|0|12|23|2|106|7|12|0|0|0|Matches
524|Jack Wilshere|eng ENG|MF|Arsenal|24|1992|0.4|1|0|0|2|3|0|1|1|2|0|0|0|Matches
525|Jack Wilshere|eng ENG|MF|Bournemouth|24|1992|21.2|3|0|0|19|49|0|27|14|18|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
526|Callum Wilson|eng ENG|FW|Bournemouth|24|1992|15.1|0|0|0|29|26|18|10|5|6|2|0|0|Matches
527|Marc Wilson|ie IRL|"DF,MF"|West Brom|28|1987|2.8|3|0|0|5|2|0|6|5|3|0|0|0|Matches
528|Kevin Wimmer|at AUT|DF|Tottenham|23|1992|4.0|3|0|0|4|1|0|1|5|2|0|0|1|Matches
529|Harry Winks|eng ENG|MF|Tottenham|20|1996|5.5|1|0|0|10|10|0|7|6|8|0|0|0|Matches
530|Philipp Wollscheid|de GER|DF|Stoke City|27|1989|2.0|1|0|0|1|2|1|0|4|3|0|0|0|Matches
531|Ben Woodburn|wls WAL|"FW,MF"|Liverpool|16|1999|1.0|0|0|0|2|1|0|5|0|3|0|0|0|Matches
532|Matt Worthington|eng ENG|"DF,MF"|Bournemouth|18|1997|0.2|0|0|0|0|0|0|0|0|0|0|0|0|Matches
533|Granit Xhaka|ch SUI|MF|Arsenal|23|1992|27.6|5|2|0|37|19|1|26|44|55|0|2|0|Matches
534|Claudio Yacob|ar ARG|MF|West Brom|29|1987|26.9|9|0|0|39|34|0|3|60|65|0|0|0|Matches
535|Maya Yoshida|jp JPN|DF|Southampton|27|1988|23.0|2|0|0|18|20|1|9|48|21|2|1|0|Matches
536|Ashley Young|eng ENG|"DF,FW"|Manchester Utd|31|1985|8.4|2|0|0|9|15|1|38|15|16|0|0|0|Matches
537|Pablo Zabaleta|ar ARG|"DF,MF"|Manchester City|31|1985|11.8|2|0|0|14|15|5|15|27|28|0|0|0|Matches
538|Wilfried Zaha|ci CIV|"FW,MF"|Crystal Palace|23|1992|33.5|8|0|0|56|120|6|106|34|56|1|0|0|Matches
539|Mauro Zárate|ar ARG|"FW,MF"|Watford|29|1987|2.3|0|0|0|1|7|0|5|0|1|1|0|0|Matches
540|Simone Zaza|it ITA|FW|West Ham|25|1991|5.1|2|0|0|11|6|6|4|3|4|0|0|0|Matches
541|Ron-Robert Zieler|de GER|GK|Leicester City|27|1989|8.4|0|0|0|0|0|0|0|0|0|0|0|0|Matches
542|Kurt Zouma|fr FRA|DF|Chelsea|21|1994|2.8|0|0|0|2|2|0|2|5|6|0|0|0|Matches
543|Juan Zúñiga|co COL|"DF,MF"|Watford|30|1985|9.2|1|0|0|5|22|0|11|19|16|1|0|0|Matches
