Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
252|Billy Jones|eng ENG|DF|Sunderland|29|1987|25.2|1|15|4|26.7|0.59|0.16|0.07|0.25||0|0|Matches
253|David Jones|eng ENG|MF|Burnley|31|1984|1.0|0|0|0||0.00|0.00||||0|0|Matches
254|Phil Jones|eng ENG|"DF,MF"|Manchester Utd|24|1992|17.6|0|3|1|33.3|0.17|0.06|0.00|0.00||0|0|Matches
255|Lukas Jutkiewicz|eng ENG|FW|Burnley|27|1989|0.1|0|0|0||0.00|0.00||||0|0|Matches
256|Christian Kabasele|be BEL|DF|Watford|25|1991|8.6|2|6|2|33.3|0.70|0.23|0.33|1.00||0|0|Matches
257|Younès Kaboul|fr FRA|DF|Watford|30|1986|20.2|2|12|4|33.3|0.59|0.20|0.17|0.50||0|0|Matches
258|Younès Kaboul|fr FRA|DF|Sunderland|30|1986|1.0|0|0|0||0.00|0.00||||0|0|Matches
259|Sullay Kaikai|sl SLE|"FW,MF"|Crystal Palace|20|1995|0.3|0|0|0||0.00|0.00||||0|0|Matches
260|Harry Kane|eng ENG|FW|Tottenham|23|1993|28.0|29|110|58|52.7|3.93|2.07|0.22|0.41||5|6|Matches
261|N'Golo Kanté|fr FRA|MF|Chelsea|25|1991|34.9|1|27|7|25.9|0.77|0.20|0.04|0.14||0|0|Matches
262|Loris Karius|de GER|GK|Liverpool|23|1993|10.0|0|0|0||0.00|0.00||||0|0|Matches
263|Michael Keane|eng ENG|DF|Burnley|23|1993|35.0|2|23|7|30.4|0.66|0.20|0.09|0.29||0|0|Matches
264|Will Keane|ie IRL|"FW,MF"|Hull City|23|1993|3.1|0|4|0|0.0|1.29|0.00|0.00|||0|0|Matches
265|Martin Kelly|eng ENG|"DF,MF"|Crystal Palace|26|1990|23.6|0|3|0|0.0|0.13|0.00|0.00|||0|0|Matches
266|Kenedy|br BRA|"FW,MF"|Watford|20|1996|0.2|0|0|0||0.00|0.00||||0|0|Matches
267|Kenedy|br BRA|"FW,MF"|Chelsea|20|1996|0.8|0|3|0|0.0|3.65|0.00|0.00|||0|0|Matches
268|Jonjoe Kenny|eng ENG|"DF,FW"|Everton|19|1997|0.1|0|0|0||0.00|0.00||||0|0|Matches
269|Wahbi Khazri|tn TUN|"FW,MF"|Sunderland|25|1991|9.4|1|23|10|43.5|2.44|1.06|0.04|0.10||0|0|Matches
270|Michael Kightly|eng ENG|"FW,MF"|Burnley|30|1986|1.2|0|1|1|100.0|0.87|0.87|0.00|0.00||0|0|Matches
271|Andy King|wls WAL|MF|Leicester City|27|1988|16.1|1|14|7|50.0|0.87|0.44|0.07|0.14||0|0|Matches
272|Joshua King|no NOR|"FW,MF"|Bournemouth|24|1992|30.1|16|68|31|45.6|2.26|1.03|0.21|0.45||2|3|Matches
273|Stephen Kingsley|sct SCO|DF|Swansea City|22|1994|11.5|0|4|1|25.0|0.35|0.09|0.00|0.00||0|0|Matches
274|Jan Kirchhoff|de GER|"DF,MF"|Sunderland|25|1990|4.8|0|3|1|33.3|0.62|0.21|0.00|0.00||0|0|Matches
275|Ragnar Klavan|ee EST|DF|Liverpool|30|1985|15.7|0|4|2|50.0|0.26|0.13|0.00|0.00||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
276|Aleksandar Kolarov|rs SRB|DF|Manchester City|30|1985|28.2|1|32|10|31.3|1.14|0.36|0.03|0.10||0|0|Matches
277|Vincent Kompany|be BEL|DF|Manchester City|30|1986|9.1|3|9|3|33.3|0.99|0.33|0.33|1.00||0|0|Matches
278|Arouna Koné|ci CIV|FW|Everton|32|1983|0.8|0|3|2|66.7|3.86|2.57|0.00|0.00||0|0|Matches
279|Lamine Koné|ci CIV|DF|Sunderland|27|1989|28.3|1|18|6|33.3|0.64|0.21|0.06|0.17||0|0|Matches
280|Laurent Koscielny|fr FRA|DF|Arsenal|30|1985|31.4|2|9|4|44.4|0.29|0.13|0.22|0.50||0|0|Matches
281|Cheikhou Kouyaté|sn SEN|"DF,MF"|West Ham|26|1989|30.3|1|21|4|19.0|0.69|0.13|0.05|0.25||0|0|Matches
282|Bojan Krkić|es ESP|"FW,MF"|Stoke City|25|1990|5.3|3|10|4|40.0|1.89|0.76|0.10|0.25||2|3|Matches
283|Adam Lallana|eng ENG|"FW,MF"|Liverpool|28|1988|26.0|8|50|19|38.0|1.93|0.73|0.16|0.42||0|0|Matches
284|Rickie Lambert|eng ENG|FW|West Brom|34|1982|0.1|0|2|0|0.0|13.85|0.00|0.00|||0|0|Matches
285|Érik Lamela|ar ARG|"FW,MF"|Tottenham|24|1992|6.6|1|18|6|33.3|2.73|0.91|0.06|0.17||0|1|Matches
286|Manuel Lanzini|ar ARG|"FW,MF"|West Ham|23|1993|30.1|8|69|21|30.4|2.29|0.70|0.09|0.29||2|2|Matches
287|Sebastian Larsson|se SWE|MF|Sunderland|31|1985|16.3|0|16|3|18.8|0.98|0.18|0.00|0.00||0|0|Matches
288|Grant Leadbitter|eng ENG|MF|Middlesbrough|30|1986|7.9|1|13|3|23.1|1.65|0.38|0.08|0.33||0|0|Matches
289|Joe Ledley|wls WAL|MF|Crystal Palace|29|1987|12.9|1|3|1|33.3|0.23|0.08|0.33|1.00||0|0|Matches
290|Lucas Leiva|br BRA|MF|Liverpool|29|1987|12.4|0|8|1|12.5|0.65|0.08|0.00|0.00||0|0|Matches
291|Jonathan Leko|eng ENG|"FW,MF"|West Brom|17|1999|2.0|0|0|0||0.00|0.00||||0|0|Matches
292|Aaron Lennon|eng ENG|"FW,MF"|Everton|29|1987|5.7|0|5|0|0.0|0.88|0.00|0.00|||0|0|Matches
293|Jeremain Lens|nl NED|"FW,MF"|Sunderland|28|1987|0.8|0|3|0|0.0|3.91|0.00|0.00|||0|0|Matches
294|Joleon Lescott|eng ENG|DF|Sunderland|33|1982|1.4|0|0|0||0.00|0.00||||0|0|Matches
295|Filip Lesniak|sk SVK|MF|Tottenham|20|1996|0.1|0|0|0||0.00|0.00||||0|0|Matches
296|Jesse Lingard|eng ENG|"FW,MF"|Manchester Utd|23|1992|15.1|1|37|13|35.1|2.45|0.86|0.03|0.08||0|0|Matches
297|Jake Livermore|eng ENG|MF|West Brom|26|1989|14.5|0|12|0|0.0|0.83|0.00|0.00|||0|0|Matches
298|Jake Livermore|eng ENG|MF|Hull City|26|1989|18.6|1|22|8|36.4|1.19|0.43|0.05|0.13||0|0|Matches
299|Fernando Llorente|es ESP|FW|Swansea City|31|1985|27.1|15|50|26|52.0|1.84|0.96|0.30|0.58||0|0|Matches
300|Hugo Lloris|fr FRA|GK|Tottenham|29|1986|33.4|0|0|0||0.00|0.00||||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
301|Ruben Loftus-Cheek|eng ENG|MF|Chelsea|20|1996|0.4|0|1|1|100.0|2.57|2.57|0.00|0.00||0|0|Matches
302|Kevin Long|ie IRL|DF|Burnley|25|1990|3.0|0|1|0|0.0|0.33|0.00|0.00|||0|0|Matches
303|Shane Long|ie IRL|FW|Southampton|29|1987|14.0|3|41|15|36.6|2.93|1.07|0.07|0.20||0|1|Matches
304|Ademola Lookman|ng NGA|"FW,MF"|Everton|18|1997|3.2|1|16|6|37.5|4.98|1.87|0.06|0.17||0|0|Matches
305|Donald Love|sct SCO|"DF,MF"|Sunderland|21|1994|6.8|0|2|1|50.0|0.29|0.15|0.00|0.00||0|0|Matches
306|Dejan Lovren|hr CRO|DF|Liverpool|27|1989|28.4|2|15|5|33.3|0.53|0.18|0.13|0.40||0|0|Matches
307|Matthew Lowton|eng ENG|DF|Burnley|27|1989|36.0|0|6|2|33.3|0.17|0.06|0.00|0.00||0|0|Matches
308|David Luiz|br BRA|"DF,MF"|Chelsea|29|1987|32.8|1|32|10|31.3|0.97|0.30|0.03|0.10||0|0|Matches
309|Romelu Lukaku|be BEL|FW|Everton|23|1993|36.3|25|110|55|50.0|3.03|1.52|0.22|0.44||1|1|Matches
310|Harry Maguire|eng ENG|DF|Hull City|23|1993|25.6|2|33|10|30.3|1.29|0.39|0.06|0.20||0|0|Matches
311|Riyad Mahrez|dz ALG|"FW,MF"|Leicester City|25|1991|31.4|6|76|29|38.2|2.42|0.92|0.04|0.10||3|5|Matches
312|Ainsley Maitland-Niles|eng ENG|"DF,FW"|Arsenal|18|1997|0.0|0|0|0||0.00|0.00||||0|0|Matches
313|Shaun Maloney|sct SCO|"FW,MF"|Hull City|33|1983|3.1|1|3|1|33.3|0.95|0.32|0.33|1.00||0|0|Matches
314|Steve Mandanda|fr FRA|GK|Crystal Palace|31|1985|9.0|0|0|0||0.00|0.00||||0|0|Matches
315|Sadio Mané|sn SEN|"FW,MF"|Liverpool|24|1992|24.8|13|57|25|43.9|2.30|1.01|0.23|0.52||0|0|Matches
316|Vito Mannone|it ITA|GK|Sunderland|28|1988|9.0|0|0|0||0.00|0.00||||0|0|Matches
317|Javier Manquillo|es ESP|DF|Sunderland|22|1994|15.9|1|3|1|33.3|0.19|0.06|0.33|1.00||0|0|Matches
318|Adrian Mariappa|jm JAM|DF|Watford|29|1986|6.2|0|2|0|0.0|0.32|0.00|0.00|||0|0|Matches
319|Lazar Marković|rs SRB|"FW,MF"|Hull City|22|1994|11.2|2|12|5|41.7|1.07|0.45|0.17|0.40||0|0|Matches
320|Dean Marney|eng ENG|MF|Burnley|32|1984|19.6|1|12|3|25.0|0.61|0.15|0.08|0.33||0|0|Matches
321|David Marshall|sct SCO|GK|Hull City|31|1985|16.0|0|0|0||0.00|0.00||||0|0|Matches
322|Anthony Martial|fr FRA|"FW,MF"|Manchester Utd|20|1995|17.3|4|42|18|42.9|2.43|1.04|0.10|0.22||0|0|Matches
