|Playing Time|Performance|Per 90 Minutes|
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
176|Adam Forshaw|eng ENG|MF|Middlesbrough|24|1991|34|30|"2,695"|29.9|0|1|1|0|0|0|4|0|0.00|0.03|0.03|0.00|0.03|Matches
177|Fraser Forster|eng ENG|GK|Southampton|28|1988|38|38|"3,420"|38.0|0|0|0|0|0|0|3|0|0.00|0.00|0.00|0.00|0.00|Matches
178|Ben Foster|eng ENG|GK|West Brom|33|1983|38|38|"3,420"|38.0|0|0|0|0|0|0|2|0|0.00|0.00|0.00|0.00|0.00|Matches
179|Timothy Fosu-Mensah|nl NED|DF|Manchester Utd|18|1998|4|1|97|1.1|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
180|Simon Francis|eng ENG|DF|Bournemouth|31|1985|34|34|"2,939"|32.7|0|1|1|0|0|0|4|1|0.00|0.03|0.03|0.00|0.03|Matches
181|Ryan Fraser|sct SCO|"FW,MF"|Bournemouth|22|1994|28|19|"1,764"|19.6|3|5|8|3|0|0|3|0|0.15|0.26|0.41|0.15|0.41|Matches
182|George Friend|eng ENG|"DF,MF"|Middlesbrough|28|1987|24|20|"1,964"|21.8|0|2|2|0|0|0|4|0|0.00|0.09|0.09|0.00|0.09|Matches
183|Zeki Fryers|eng ENG|DF|Crystal Palace|23|1992|8|0|188|2.1|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
184|Christian Fuchs|at AUT|"DF,MF"|Leicester City|30|1986|36|35|"3,103"|34.5|2|3|5|2|0|0|10|0|0.06|0.09|0.15|0.06|0.15|Matches
185|Jay Fulton|sct SCO|MF|Swansea City|22|1994|11|9|690|7.7|0|0|0|0|0|0|2|0|0.00|0.00|0.00|0.00|0.00|Matches
186|Ramiro Funes Mori|ar ARG|DF|Everton|25|1991|23|16|"1,543"|17.1|0|1|1|0|0|0|0|0|0.00|0.06|0.06|0.00|0.06|Matches
187|Manolo Gabbiadini|it ITA|FW|Southampton|24|1991|11|10|724|8.0|4|0|4|4|0|1|1|0|0.50|0.00|0.50|0.50|0.50|Matches
188|Brendan Galloway|zw ZIM|DF|West Brom|20|1996|3|3|247|2.7|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
189|Idrissa Gana Gueye|sn SEN|MF|Everton|26|1989|33|32|"2,681"|29.8|1|1|2|1|0|0|11|0|0.03|0.03|0.07|0.03|0.07|Matches
190|Aleix García|es ESP|MF|Manchester City|19|1997|4|1|77|0.9|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
191|Craig Gardner|eng ENG|MF|West Brom|29|1986|9|2|218|2.4|0|1|1|0|0|0|1|0|0.00|0.41|0.41|0.00|0.41|Matches
192|David de Gea|es ESP|GK|Manchester Utd|25|1990|35|35|"3,150"|35.0|0|0|0|0|0|0|2|0|0.00|0.00|0.00|0.00|0.00|Matches
193|Rudy Gestede|bj BEN|FW|Middlesbrough|27|1988|16|4|533|5.9|1|0|1|1|0|0|3|0|0.17|0.00|0.17|0.17|0.17|Matches
194|Kieran Gibbs|eng ENG|"DF,MF"|Arsenal|26|1989|11|8|702|7.8|0|1|1|0|0|0|3|0|0.00|0.13|0.13|0.00|0.13|Matches
195|Ben Gibson|eng ENG|DF|Middlesbrough|23|1993|38|38|"3,420"|38.0|1|1|2|1|0|0|4|0|0.03|0.03|0.05|0.03|0.05|Matches
196|Darron Gibson|ie IRL|MF|Sunderland|28|1987|12|7|640|7.1|0|0|0|0|0|0|4|0|0.00|0.00|0.00|0.00|0.00|Matches
197|Olivier Giroud|fr FRA|FW|Arsenal|29|1986|29|11|"1,206"|13.4|12|3|15|12|0|0|2|0|0.90|0.22|1.12|0.90|1.12|Matches
198|Shay Given|ie IRL|GK|Stoke City|40|1976|5|5|450|5.0|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
199|Evandro Goebel|br BRA|MF|Hull City|29|1986|11|7|576|6.4|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
200|Angel Gomes|eng ENG|"FW,MF"|Manchester Utd|15|2000|1|0|3|0.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
201|Heurelho Gomes|br BRA|GK|Watford|35|1981|38|38|"3,337"|37.1|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
202|Lynden Gooch|us USA|"DF,FW"|Sunderland|20|1995|11|4|366|4.1|0|0|0|0|0|0|3|0|0.00|0.00|0.00|0.00|0.00|Matches
203|Dan Gosling|eng ENG|"DF,MF"|Bournemouth|26|1990|27|14|"1,366"|15.2|2|0|2|2|0|0|6|0|0.13|0.00|0.13|0.13|0.13|Matches
204|Lewis Grabban|eng ENG|"FW,MF"|Bournemouth|28|1988|3|0|60|0.7|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
205|Max Gradel|ci CIV|"FW,MF"|Bournemouth|28|1987|11|0|134|1.5|0|0|0|0|0|0|3|0|0.00|0.00|0.00|0.00|0.00|Matches
206|Lee Grant|eng ENG|GK|Stoke City|33|1983|28|28|"2,520"|28.0|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
207|Andre Gray|jm JAM|FW|Burnley|25|1991|32|26|"2,259"|25.1|9|3|12|7|2|2|2|0|0.36|0.12|0.48|0.28|0.40|Matches
208|Demarai Gray|jm JAM|"FW,MF"|Leicester City|20|1996|30|9|"1,049"|11.7|1|3|4|1|0|0|2|0|0.09|0.26|0.34|0.09|0.34|Matches
209|Kamil Grosicki|pl POL|"FW,MF"|Hull City|28|1988|15|12|"1,143"|12.7|0|3|3|0|0|0|1|0|0.00|0.24|0.24|0.00|0.24|Matches
210|Marko Grujić|rs SRB|MF|Liverpool|20|1996|5|0|43|0.5|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
211|Adlène Guedioura|dz ALG|MF|Watford|30|1985|12|9|721|8.0|0|0|0|0|0|0|2|0|0.00|0.00|0.00|0.00|0.00|Matches
212|Adlène Guedioura|dz ALG|MF|Middlesbrough|30|1985|5|0|140|1.6|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
213|İlkay Gündoğan|de GER|MF|Manchester City|25|1990|10|9|704|7.8|3|1|4|3|0|0|0|0|0.38|0.13|0.51|0.38|0.51|Matches
214|Brad Guzan|us USA|GK|Middlesbrough|31|1984|10|10|900|10.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
215|Josh Harrop|eng ENG|MF|Manchester Utd|20|1995|1|1|90|1.0|1|0|1|1|0|0|0|0|1.00|0.00|1.00|1.00|1.00|Matches
216|Eden Hazard|be BEL|"FW,MF"|Chelsea|25|1991|36|36|"2,982"|33.1|16|5|21|14|2|3|3|0|0.48|0.15|0.63|0.42|0.57|Matches
217|Tom Heaton|eng ENG|GK|Burnley|30|1986|35|35|"3,150"|35.0|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
218|Jordan Henderson|eng ENG|MF|Liverpool|26|1990|24|24|"2,116"|23.5|1|4|5|1|0|0|8|0|0.04|0.17|0.21|0.04|0.21|Matches
219|Jeff Hendrick|ie IRL|"FW,MF"|Burnley|24|1992|32|31|"2,692"|29.9|2|1|3|2|0|0|6|1|0.07|0.03|0.10|0.07|0.10|Matches
220|Wayne Hennessey|wls WAL|GK|Crystal Palace|29|1987|29|29|"2,610"|29.0|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
221|Markus Henriksen|no NOR|"DF,MF"|Hull City|24|1992|15|6|638|7.1|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
222|Abel Hernández|uy URU|FW|Hull City|25|1990|24|16|"1,425"|15.8|4|3|7|4|0|0|0|0|0.25|0.19|0.44|0.25|0.44|Matches
223|Luis Hernández|es ESP|DF|Leicester City|27|1989|4|3|327|3.6|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
224|Ander Herrera|es ESP|MF|Manchester Utd|26|1989|31|27|"2,464"|27.4|1|5|6|1|0|0|7|1|0.04|0.18|0.22|0.04|0.22|Matches
225|Son Heung-min|kr KOR|"FW,MF"|Tottenham|24|1992|34|23|"2,062"|22.9|14|6|20|14|0|0|2|0|0.61|0.26|0.87|0.61|0.87|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
226|Rob Holding|eng ENG|DF|Arsenal|20|1995|9|9|810|9.0|0|0|0|0|0|0|3|0|0.00|0.00|0.00|0.00|0.00|Matches
227|José Holebas|gr GRE|"DF,MF"|Watford|32|1984|33|33|"2,905"|32.3|2|4|6|2|0|0|14|0|0.06|0.12|0.19|0.06|0.19|Matches
228|Mason Holgate|eng ENG|DF|Everton|19|1996|18|16|"1,372"|15.2|0|1|1|0|0|0|2|0|0.00|0.07|0.07|0.00|0.07|Matches
229|George Honeyman|eng ENG|"FW,MF"|Sunderland|21|1994|5|2|235|2.6|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
230|Tom Huddlestone|eng ENG|MF|Hull City|29|1986|31|23|"2,026"|22.5|1|0|1|0|1|1|5|1|0.04|0.00|0.04|0.00|0.00|Matches
231|James Husband|eng ENG|DF|Middlesbrough|22|1994|1|1|58|0.6|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
232|Robert Huth|de GER|DF|Leicester City|31|1984|33|33|"2,926"|32.5|2|1|3|2|0|0|9|0|0.06|0.03|0.09|0.06|0.09|Matches
233|Pierre Højbjerg|dk DEN|MF|Southampton|20|1995|22|14|"1,301"|14.5|0|0|0|0|0|0|2|0|0.00|0.00|0.00|0.00|0.00|Matches
234|Jordon Ibe|eng ENG|"FW,MF"|Bournemouth|20|1995|25|13|"1,055"|11.7|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
235|Didier Ibrahim Ndong|ga GAB|"DF,MF"|Sunderland|22|1994|31|27|"2,520"|28.0|1|0|1|1|0|0|5|0|0.04|0.00|0.04|0.04|0.04|Matches
236|Zlatan Ibrahimović|se SWE|FW|Manchester Utd|34|1981|28|27|"2,438"|27.1|17|5|22|15|2|3|7|0|0.63|0.18|0.81|0.55|0.74|Matches
237|Odion Ighalo|ng NGA|FW|Watford|27|1989|18|14|"1,291"|14.3|1|0|1|1|0|0|1|0|0.07|0.00|0.07|0.07|0.07|Matches
238|Kelechi Iheanacho|ng NGA|"FW,MF"|Manchester City|19|1996|20|5|537|6.0|4|3|7|4|0|0|0|0|0.67|0.50|1.17|0.67|1.17|Matches
239|Giannelli Imbula|cd COD|MF|Stoke City|23|1992|12|9|796|8.8|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
240|Branislav Ivanović|rs SRB|DF|Chelsea|32|1984|13|6|589|6.5|0|0|0|0|0|0|2|0|0.00|0.00|0.00|0.00|0.00|Matches
241|Alex Iwobi|ng NGA|"FW,MF"|Arsenal|20|1996|26|18|"1,456"|16.2|3|4|7|3|0|0|1|0|0.19|0.25|0.43|0.19|0.43|Matches
242|Phil Jagielka|eng ENG|"DF,MF"|Everton|33|1982|27|25|"2,249"|25.0|3|2|5|3|0|0|6|2|0.12|0.08|0.20|0.12|0.20|Matches
243|Eldin Jakupović|ch SUI|GK|Hull City|31|1984|22|22|"1,980"|22.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
244|Matty James|eng ENG|MF|Leicester City|25|1991|1|0|1|0.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
245|Daryl Janmaat|nl NED|DF|Watford|27|1989|27|18|"1,617"|18.0|2|1|3|2|0|0|2|0|0.11|0.06|0.17|0.11|0.17|Matches
246|Vincent Janssen|nl NED|FW|Tottenham|22|1994|27|7|845|9.4|2|2|4|1|1|1|0|0|0.21|0.21|0.43|0.11|0.32|Matches
247|Adnan Januzaj|be BEL|"FW,MF"|Sunderland|21|1995|25|18|"1,629"|18.1|0|2|2|0|0|0|5|1|0.00|0.11|0.11|0.00|0.11|Matches
248|Mile Jedinak|au AUS|MF|Crystal Palace|31|1984|1|1|90|1.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
249|Carl Jenkinson|eng ENG|DF|Arsenal|24|1992|1|1|82|0.9|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
250|Gabriel Jesus|br BRA|"FW,MF"|Manchester City|19|1997|10|8|650|7.2|7|4|11|6|1|1|2|0|0.97|0.55|1.52|0.83|1.38|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
251|Glen Johnson|eng ENG|DF|Stoke City|31|1984|23|21|"1,957"|21.7|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
252|Billy Jones|eng ENG|DF|Sunderland|29|1987|27|25|"2,270"|25.2|1|0|1|1|0|0|8|0|0.04|0.00|0.04|0.04|0.04|Matches
253|David Jones|eng ENG|MF|Burnley|31|1984|1|1|86|1.0|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
254|Phil Jones|eng ENG|"DF,MF"|Manchester Utd|24|1992|18|18|"1,584"|17.6|0|0|0|0|0|0|2|0|0.00|0.00|0.00|0.00|0.00|Matches
255|Lukas Jutkiewicz|eng ENG|FW|Burnley|27|1989|2|0|13|0.1|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
256|Christian Kabasele|be BEL|DF|Watford|25|1991|16|7|771|8.6|2|0|2|2|0|0|1|0|0.23|0.00|0.23|0.23|0.23|Matches
257|Younès Kaboul|fr FRA|DF|Watford|30|1986|22|22|"1,820"|20.2|2|0|2|2|0|0|2|0|0.10|0.00|0.10|0.10|0.10|Matches
258|Younès Kaboul|fr FRA|DF|Sunderland|30|1986|1|1|90|1.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
259|Sullay Kaikai|sl SLE|"FW,MF"|Crystal Palace|20|1995|1|0|24|0.3|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
260|Harry Kane|eng ENG|FW|Tottenham|23|1993|30|29|"2,521"|28.0|29|5|34|24|5|6|3|0|1.04|0.18|1.21|0.86|1.04|Matches
261|N'Golo Kanté|fr FRA|MF|Chelsea|25|1991|35|35|"3,138"|34.9|1|1|2|1|0|0|9|0|0.03|0.03|0.06|0.03|0.06|Matches
262|Loris Karius|de GER|GK|Liverpool|23|1993|10|10|900|10.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
263|Michael Keane|eng ENG|DF|Burnley|23|1993|35|35|"3,150"|35.0|2|1|3|2|0|0|4|0|0.06|0.03|0.09|0.06|0.09|Matches
264|Will Keane|ie IRL|"FW,MF"|Hull City|23|1993|5|4|280|3.1|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
265|Martin Kelly|eng ENG|"DF,MF"|Crystal Palace|26|1990|29|25|"2,123"|23.6|0|2|2|0|0|0|4|0|0.00|0.08|0.08|0.00|0.08|Matches
266|Kenedy|br BRA|"FW,MF"|Watford|20|1996|1|0|16|0.2|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
267|Kenedy|br BRA|"FW,MF"|Chelsea|20|1996|1|1|74|0.8|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
268|Jonjoe Kenny|eng ENG|"DF,FW"|Everton|19|1997|1|0|13|0.1|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
269|Wahbi Khazri|tn TUN|"FW,MF"|Sunderland|25|1991|21|7|849|9.4|1|0|1|1|0|0|6|0|0.11|0.00|0.11|0.11|0.11|Matches
270|Michael Kightly|eng ENG|"FW,MF"|Burnley|30|1986|5|1|104|1.2|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
271|Andy King|wls WAL|MF|Leicester City|27|1988|23|15|"1,446"|16.1|1|0|1|1|0|0|4|0|0.06|0.00|0.06|0.06|0.06|Matches
272|Joshua King|no NOR|"FW,MF"|Bournemouth|24|1992|36|31|"2,713"|30.1|16|2|18|14|2|3|1|0|0.53|0.07|0.60|0.46|0.53|Matches
273|Stephen Kingsley|sct SCO|DF|Swansea City|22|1994|13|12|"1,036"|11.5|0|1|1|0|0|0|0|0|0.00|0.09|0.09|0.00|0.09|Matches
274|Jan Kirchhoff|de GER|"DF,MF"|Sunderland|25|1990|7|5|433|4.8|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
275|Ragnar Klavan|ee EST|DF|Liverpool|30|1985|20|15|"1,410"|15.7|0|0|0|0|0|0|3|0|0.00|0.00|0.00|0.00|0.00|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
276|Aleksandar Kolarov|rs SRB|DF|Manchester City|30|1985|29|27|"2,535"|28.2|1|2|3|1|0|0|6|0|0.04|0.07|0.11|0.04|0.11|Matches
277|Vincent Kompany|be BEL|DF|Manchester City|30|1986|11|10|820|9.1|3|0|3|3|0|0|5|0|0.33|0.00|0.33|0.33|0.33|Matches
278|Arouna Koné|ci CIV|FW|Everton|32|1983|5|0|70|0.8|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
279|Lamine Koné|ci CIV|DF|Sunderland|27|1989|30|29|"2,545"|28.3|1|0|1|1|0|0|4|0|0.04|0.00|0.04|0.04|0.04|Matches
280|Laurent Koscielny|fr FRA|DF|Arsenal|30|1985|33|33|"2,822"|31.4|2|0|2|2|0|0|4|1|0.06|0.00|0.06|0.06|0.06|Matches
281|Cheikhou Kouyaté|sn SEN|"DF,MF"|West Ham|26|1989|31|31|"2,723"|30.3|1|0|1|1|0|0|3|0|0.03|0.00|0.03|0.03|0.03|Matches
282|Bojan Krkić|es ESP|"FW,MF"|Stoke City|25|1990|9|5|475|5.3|3|0|3|1|2|3|1|0|0.57|0.00|0.57|0.19|0.19|Matches
283|Adam Lallana|eng ENG|"FW,MF"|Liverpool|28|1988|31|27|"2,336"|26.0|8|6|14|8|0|0|3|0|0.31|0.23|0.54|0.31|0.54|Matches
284|Rickie Lambert|eng ENG|FW|West Brom|34|1982|1|0|13|0.1|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
285|Érik Lamela|ar ARG|"FW,MF"|Tottenham|24|1992|9|6|594|6.6|1|3|4|1|0|1|1|0|0.15|0.45|0.61|0.15|0.61|Matches
286|Manuel Lanzini|ar ARG|"FW,MF"|West Ham|23|1993|35|31|"2,706"|30.1|8|2|10|6|2|2|9|0|0.27|0.07|0.33|0.20|0.27|Matches
287|Sebastian Larsson|se SWE|MF|Sunderland|31|1985|21|17|"1,469"|16.3|0|1|1|0|0|0|4|1|0.00|0.06|0.06|0.00|0.06|Matches
288|Grant Leadbitter|eng ENG|MF|Middlesbrough|30|1986|13|7|710|7.9|1|0|1|1|0|0|1|0|0.13|0.00|0.13|0.13|0.13|Matches
289|Joe Ledley|wls WAL|MF|Crystal Palace|29|1987|18|13|"1,160"|12.9|1|1|2|1|0|0|1|0|0.08|0.08|0.16|0.08|0.16|Matches
290|Lucas Leiva|br BRA|MF|Liverpool|29|1987|24|12|"1,112"|12.4|0|2|2|0|0|0|4|0|0.00|0.16|0.16|0.00|0.16|Matches
291|Jonathan Leko|eng ENG|"FW,MF"|West Brom|17|1999|9|0|181|2.0|0|1|1|0|0|0|0|0|0.00|0.50|0.50|0.00|0.50|Matches
292|Aaron Lennon|eng ENG|"FW,MF"|Everton|29|1987|11|6|509|5.7|0|1|1|0|0|0|0|0|0.00|0.18|0.18|0.00|0.18|Matches
293|Jeremain Lens|nl NED|"FW,MF"|Sunderland|28|1987|2|0|69|0.8|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
294|Joleon Lescott|eng ENG|DF|Sunderland|33|1982|2|1|124|1.4|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
295|Filip Lesniak|sk SVK|MF|Tottenham|20|1996|1|0|5|0.1|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
296|Jesse Lingard|eng ENG|"FW,MF"|Manchester Utd|23|1992|25|18|"1,360"|15.1|1|1|2|1|0|0|3|0|0.07|0.07|0.13|0.07|0.13|Matches
297|Jake Livermore|eng ENG|MF|West Brom|26|1989|16|15|"1,301"|14.5|0|0|0|0|0|0|2|0|0.00|0.00|0.00|0.00|0.00|Matches
298|Jake Livermore|eng ENG|MF|Hull City|26|1989|21|20|"1,670"|18.6|1|0|1|1|0|0|3|1|0.05|0.00|0.05|0.05|0.05|Matches
299|Fernando Llorente|es ESP|FW|Swansea City|31|1985|33|28|"2,442"|27.1|15|1|16|15|0|0|2|0|0.55|0.04|0.59|0.55|0.59|Matches
300|Hugo Lloris|fr FRA|GK|Tottenham|29|1986|34|34|"3,004"|33.4|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
301|Ruben Loftus-Cheek|eng ENG|MF|Chelsea|20|1996|6|0|35|0.4|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
302|Kevin Long|ie IRL|DF|Burnley|25|1990|3|3|270|3.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
303|Shane Long|ie IRL|FW|Southampton|29|1987|32|10|"1,261"|14.0|3|2|5|3|0|1|2|0|0.21|0.14|0.36|0.21|0.36|Matches
304|Ademola Lookman|ng NGA|"FW,MF"|Everton|18|1997|8|3|289|3.2|1|0|1|1|0|0|0|0|0.31|0.00|0.31|0.31|0.31|Matches
305|Donald Love|sct SCO|"DF,MF"|Sunderland|21|1994|12|6|611|6.8|0|1|1|0|0|0|1|0|0.00|0.15|0.15|0.00|0.15|Matches
306|Dejan Lovren|hr CRO|DF|Liverpool|27|1989|29|29|"2,553"|28.4|2|1|3|2|0|0|6|0|0.07|0.04|0.11|0.07|0.11|Matches
307|Matthew Lowton|eng ENG|DF|Burnley|27|1989|36|36|"3,240"|36.0|0|2|2|0|0|0|9|0|0.00|0.06|0.06|0.00|0.06|Matches
308|David Luiz|br BRA|"DF,MF"|Chelsea|29|1987|33|33|"2,954"|32.8|1|0|1|1|0|0|6|0|0.03|0.00|0.03|0.03|0.03|Matches
309|Romelu Lukaku|be BEL|FW|Everton|23|1993|37|36|"3,266"|36.3|25|6|31|24|1|1|3|0|0.69|0.17|0.85|0.66|0.83|Matches
310|Harry Maguire|eng ENG|DF|Hull City|23|1993|29|25|"2,307"|25.6|2|1|3|2|0|0|5|0|0.08|0.04|0.12|0.08|0.12|Matches
311|Riyad Mahrez|dz ALG|"FW,MF"|Leicester City|25|1991|36|33|"2,825"|31.4|6|4|10|3|3|5|4|0|0.19|0.13|0.32|0.10|0.22|Matches
312|Ainsley Maitland-Niles|eng ENG|"DF,FW"|Arsenal|18|1997|1|0|2|0.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
313|Shaun Maloney|sct SCO|"FW,MF"|Hull City|33|1983|9|2|283|3.1|1|2|3|1|0|0|0|0|0.32|0.64|0.95|0.32|0.95|Matches
314|Steve Mandanda|fr FRA|GK|Crystal Palace|31|1985|9|9|810|9.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
315|Sadio Mané|sn SEN|"FW,MF"|Liverpool|24|1992|27|26|"2,235"|24.8|13|5|18|13|0|0|4|0|0.52|0.20|0.72|0.52|0.72|Matches
316|Vito Mannone|it ITA|GK|Sunderland|28|1988|9|9|810|9.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
317|Javier Manquillo|es ESP|DF|Sunderland|22|1994|20|15|"1,430"|15.9|1|0|1|1|0|0|2|0|0.06|0.00|0.06|0.06|0.06|Matches
318|Adrian Mariappa|jm JAM|DF|Watford|29|1986|7|6|562|6.2|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
319|Lazar Marković|rs SRB|"FW,MF"|Hull City|22|1994|12|12|"1,005"|11.2|2|0|2|2|0|0|4|0|0.18|0.00|0.18|0.18|0.18|Matches
320|Dean Marney|eng ENG|MF|Burnley|32|1984|21|21|"1,764"|19.6|1|2|3|1|0|0|7|0|0.05|0.10|0.15|0.05|0.15|Matches
321|David Marshall|sct SCO|GK|Hull City|31|1985|16|16|"1,440"|16.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
